台湾測試,#genre#
緯來日本,tvbus://6HF1yWQYSSGjGvak1fNJHay9UmLQbAZh7MK2bmbZhS7sxF75ngzTnEP4Lj99a
國興衛視,tvbus://5SX9vAMYLsHuC9UPJvZSGQcjCp3Zq2yCZYJP5YSdCyi7CrYu7CJmSkmWe11aP
Z頻道,tvbus://6R1Mb1nKR5CvDNMeoPgdwFbgR4hAT8GoYmjAmg71KpcS1CnCZNqcsb5gvj6vq
ElevenSportsPlus,tvbus://66h1iu7keRoKN1afa7wiSyPxz6DNNRXgaruXo1pjKvbBf9j5zkJcx9s8ocCQJ
華視新聞資訊,tvbus://5v634cmpVDfScXt8753ifdEd7G2JQYo51ikg3oTJVuFTz75T9W5PLXpgbcfNU
fox new,tvbus://5vBMQemSizDsHyFSUD5GsHkDYxZg4giYGAqLhC3srNUQ6Jysy2Arxa9DFmcZN
Al Jazeera English HD,tvbus://65PfJvnD1FTaEUTmZCy8FBvcHV618ViyukZnQpaJyqrkarGHRS9E1J2nT3S1d
FOX頻道,tvbus://68iHfHNuBtAKTjqxLpnPZS9x5nZDPwcZwXQ2pAhBe3bEPfnk14pYkvrBcyH3v
KBS HD,tvbus://5zv7XyHQjgTH8w2LGYiCaHLSC5pyMPxS1fH1bY2j24nuzm3DE2C74f6XdrY4c
八大娛樂,tvbus://68HTXA74c984HSYJrg7um6zdoF8KwdpiCsr76CjGKuW6gYTSabfKgqxNd7xtP
MTV_Live,tvbus://6KkQcWWPHAd5MuTaseQeai1b1o8Zx3zwS7LtXzERkChRirKYMUkjgRdeYS4Xs
三立財經,tvbus://5ZbnUfiKH4jFZ7uQoMMgk9o7GWhD8MZJa6ZM1cypdSZQFeYhLmRkU1NhreVFL
龍華戲劇,tvbus://5KoxmMFj7xwMbba7mmUQwAdcctBNoCerBneyJM74b5g5vju2skBySxURTQ7VR
龍華動畫,tvbus://61YbuC57vn89TinNh2chcuyhwV1QVQCiNwKLMsrzLiJTKNCry5iJRZGS7yQWb
龍華偶像,tvbus://62MWyTyDjpfVdemv2KS23PBdh62pqZj5NBDpDhmyAZ5Qkx6ttftuB4qj5T3Fs
龍華電影,tvbus://6LwUVDeFb8Jsbakw6NkRVBFAA5KgeehuDN64LJKBiNRUVHAB7r42TWHiSTgsL
Fox_Action,tvbus://6EPSdeqvXNb7KLxD89cY9miiqJ9Ug4fneLZQwmcwvdNYNitf7SnQaT923uaCf
ESPN,tvbus://6EfX6hUqimY3KFh42tvPxvtcu27gStYqVCd5jSRyuqx6P4VXucJXGxBBxEQR3
龍華洋片,tvbus://6V8xXw3yHZrGVLyzCjzdVLntF2PJPXbWQFrFAsurARw4Y2U9jJXjyau8Xcnox
公視二,tvbus://5TiPr2DjeUVndyJeyKN4scd8hyRYWMSYHcvLpK6XMHKzowB3vrMx9oVvxBJf2
佛衛慈悲,tvbus://5kjWfXsFo8XVV4b31i5v7nWRG5E4U9Hd4sciiuJzrvWgV6LMMEF9b2PmJvRAK
EVEHD,tvbus://5USFnWaw7KDt7jiQu7fkYEMzFzAQ15abf7phKK4EjFeCgSERtxTLiNygHLcxZ
人間衛視,tvbus://5uA9xkrnZnnrQq4kwjDfkEvX9m1h929DSFnFiJACuAXDiyKWDh8Mv2QEMwzvn
華藏衛視,tvbus://5KJu4mHQebPojUWthRKPcWt2VcqW5jhRNQ5hTB15bqHMdL8SXBBsH6kYovvY2
BOOMERANG,tvbus://6Cz3jcy1gsTwCxNYBiHYHSQY4znY7AubsFYnJzQKaY2FNmeGqp4is8eSmLmJi
恐怖電影,tvbus://6ffsBkiFt76YsMvAsynuZRMEm6u5YtvaJoPmiuwZLUVWK2Yg6TLDy5igYN88h
foxlife,tvbus://667e5WVaheQ5D3SXPGAj6tFmGKSt8hZm4pFwtzCxdyx5LqcQqKnW5B1Vtj2cG
Fox家庭電影,tvbus://6geZ8Q1FXN7tbD8UFaBcjsSJeDCkXHS6NcEdf7zx6aUfUV1vrRteXCMKvquNA
東森亞洲呦呦,tvbus://5VquV1gHN55p1tPjRKANnx2BJqJ7Qz8QpW1ZPFikD9axzcGNE2yyFKq8A4ZV5
東森亞洲新聞,tvbus://6RPbbDwxZUDTd8PooxBBDToo7SVftNBFFdF1EpAa1NcpsSV55CDuwpQjHfeHp
壹電視電影,tvbus://6e8ezWspDt1woNCGmZNhjYinqQfDdA5NWoosjKT9DqWG37f78GNL6y2yKiEVb
